id,pattern,use_case,frontend_stack,backend_type,implementation_notes,anti_patterns
1,REST TanStack Query,CRUD operations list detail create update delete,React Next.js Vite,Any REST API,TanStack Query useQuery useMutation cache invalidation optimistic updates,Using useEffect + fetch without caching no error handling no retry logic
2,REST SWR,Simple read-heavy dashboards real-time polling lightweight caching,React Next.js,Any REST API,SWR useSWR auto-revalidation deduping polling interval,Using raw fetch without caching no revalidation strategy
3,GraphQL Apollo Client,Complex nested data relationships multiple entities in one query,React Next.js,GraphQL Apollo Server,Apollo Client useQuery useMutation cache normalization type policies,Over-fetching with REST when GraphQL available no fragment colocation
4,GraphQL TanStack Query,Modern React apps with GraphQL preferring TanStack ecosystem,React Next.js,GraphQL Any,graphql-request + TanStack Query manual cache key management,Using Apollo just for GraphQL when simpler solutions exist
5,WebSocket Native,Real-time chat notifications live updates low latency,Browser WebSocket,Socket.io WS,Native WebSocket API with reconnect logic heartbeat ping-pong,No reconnect logic no heartbeat memory leaks from unclosed connections
6,Socket.io Client,Real-time bidirectional events rooms namespaces fallback support,React Vue,Socket.io Server,Socket.io client with auto-reconnect room management event namespacing,Using raw WebSocket when Socket.io features needed no room management
7,STOMP SockJS,Spring Boot backend enterprise messaging topic subscription,React Angular,Spring Boot STOMP,SockJS + STOMP.js subscribe to topics send to destinations ack/nack,Using raw WebSocket with Spring STOMP no topic subscription no heart-beat
8,Server-Sent Events,One-way server push live dashboards stock prices notifications,Browser EventSource,Any SSE endpoint,EventSource with reconnect polyfill for Edge custom headers handling,Using WebSocket for one-way data no reconnect for EventSource
9,gRPC Web,High-performance internal services microservices protobuf contracts,React Angular,Envoy gRPC,gRPC-Web client protobuf code generation streaming support,Using REST for internal microservices when gRPC available
10,TanStack Query + MSW,Frontend-first development contract-driven API mocking,React Next.js,Any future API,MSW browser + server worker mock REST GraphQL TanStack Query devtools,Hardcoding mock data in components no MSW setup using setTimeout fake delays
11,json-server,Full fake REST API for rapid prototyping zero backend setup,Any frontend,None json-server,json-server with custom routes middleware db.json seed data,Keeping json-server in production using it for real data no migration path
12,localStorage Mock,Simple persistence offline-first demo data no backend dependency,Any frontend,None,localStorage sessionStorage with schema validation hydration sync,Treating localStorage as production database no sync strategy data loss risk
13,Swagger OpenAPI Codegen,Type-safe API clients generated from backend contract,React Angular Any,Any OpenAPI,OpenAPI Generator typescript-axios or typescript-fetch runtime validation,Manual typing of API responses no contract validation drift between frontend backend
14,TRPC,End-to-end type-safe APIs with tRPC router zero schema duplication,React Next.js,tRPC Router,tRPC client useQuery useMutation with Zod validation batching,Using REST when tRPC available manual type definitions
15,Zustand + API Layer,Lightweight state management with async data layer minimal boilerplate,React Zustand,Any API,Zustand store with async actions devtools middleware persistence,Mixing Zustand with TanStack Query without clear separation no store normalization
